"TimeofExecution","E-hits_metric","UniqueKmers_2","UniqueHashes","KS-test-diff","KS-test-kmer2","Sample"
27748,3.06331500392773,6365,9960,0,1,1
16065,3.11732196431391,6333,9960,0,1,2
15203,3.14294770206022,6310,9960,0,1,3
14666,3.06741925368454,6378,9960,0,1,4
14556,3.10403530895334,6344,9960,0,1,5
14848,3.03568075117371,6390,9960,0,1,6
14610,3.07771858351614,6382,9960,0,1,7
14450,3.10721616927207,6333,9960,0,1,8
14413,3.0717868338558,6380,9960,0,1,9
15960,3.20376876397317,6262,9960,0,1,10
