"TimeofExecution","E-hits_metric","UniqueKmers_2","UniqueHashes","KS-test-diff","KS-test-kmer2","Sample"
6309,4.6875,32,60,0,0.0364579737758186,1
6072,4.35294117647059,34,60,0,0.145847092047932,2
6456,4.3030303030303,33,60,0,0.0944793507368693,3
11941,5.58620689655172,29,60,0,0.0375518936070495,4
5902,4.72727272727273,33,60,0,0.225852683721792,5
40861,6.13793103448276,29,60,0,0.221030376854775,6
9410,4,36,60,0,0.0999449412239891,7
6736,3.71428571428571,35,60,0,0.149808894568171,8
6350,4.11111111111111,36,60,0,0.0588733332642657,9
42252,6.64285714285714,28,60,0,0.221474693918871,10
14755,5.16129032258065,31,60,0,0.10034136400454,11
5886,4.3030303030303,33,60,0,0.157927419423932,12
39515,5.80645161290323,31,60,0,0.0970929887635451,13
19201,4.58064516129032,31,60,0,0.0989874379649311,14
8204,4.54545454545455,33,60,0,0.0124471290945578,15
12160,4.54545454545455,33,60,0,0.0383624189314465,16
6219,4.35294117647059,34,60,0,0.0351128149161927,17
42146,3.93939393939394,33,60,0,0.0662963905801353,18
11431,4.96774193548387,31,60,0,0.0979210954363817,19
7924,5.61290322580645,31,60,0,0.15505787693137,20
39395,7.37931034482759,29,60,0,0.0392877191184078,21
6274,4.42424242424242,33,60,0,0.149211656170463,22
9026,4.51428571428571,35,60,0,0.105192841615207,23
6058,6.20689655172414,29,60,0,0.0380886377226729,24
78492,5.72413793103448,29,60,0,0.220027822539622,25
9435,5.72413793103448,29,60,0,0.0135094983902062,26
6389,5.6,30,60,0,0.0597271265668607,27
7085,5.25,32,60,0,0.325463039207162,28
46833,4.36363636363636,33,60,0,0.020734571023152,29
7138,3.88571428571429,35,60,0,0.0384258075799208,30
8989,4.05714285714286,35,60,0,0.0951838059111,31
7253,3.77777777777778,36,60,0,0.146101276828749,32
71998,4.54545454545455,33,60,0,0.325269470135363,33
7317,6.14814814814815,27,60,0,0.151012445554773,34
7352,6.46666666666667,30,60,0,0.15432614295634,35
6785,4.3030303030303,33,60,0,0.22686049706102,36
60754,4.4375,32,60,0,0.0952423174605121,37
6610,6.13333333333333,30,60,0,0.312957080212152,38
8235,3.82352941176471,34,60,0,0.0215026546435192,39
9570,4.28571428571429,35,60,0,0.150697176493594,40
53190,4.875,32,60,0,0.0932771981963674,41
5874,4.3030303030303,33,60,0,0.43285404163684,42
7417,4.70967741935484,31,60,0,0.0571405462926878,43
7520,4.3030303030303,33,60,0,0.31229143152528,44
47641,5.33333333333333,30,60,0,0.0212106099988845,45
10343,4.93333333333333,30,60,0,0.218710241520738,46
7107,4.75,32,60,0,0.225008082631891,47
266302,4.11764705882353,34,60,0,0.22011852985255,48
7712,4.82352941176471,34,60,0,0.039480619303488,49
7043,3.83333333333333,36,60,0,0.101588988967067,50
6749,3.94117647058824,34,60,0,0.22210067764342,51
63374,5.29032258064516,31,60,0,0.100238422432249,52
10254,4.28571428571429,35,60,0,0.0617034834571244,53
7224,6.42857142857143,28,60,0,0.224053214722011,54
9779,4.25,32,60,0,0.222045306126953,55
6128,5.8,30,60,0,0.152873832525636,56
12880,3.5,36,60,0,0.00350019987746852,57
9176,4.12121212121212,33,60,0,0.325557181695718,58
41253,4.5625,32,60,0,0.0366217807197423,59
6397,3.77777777777778,36,60,0,0.0945015784768819,60
12782,4.8125,32,60,0,0.230771522964078,61
10838,3.94594594594595,37,60,0,0.32166857694091,62
35306,3.31578947368421,38,60,0,0.0984323804782976,63
14315,4.18181818181818,33,60,0,0.590525721651479,64
7961,4.90322580645161,31,60,0,0.318773811857907,65
5878,4.54545454545455,33,60,0,0.064798490721875,66
40628,3.48717948717949,39,60,0,0.00692409595821974,67
11291,4.17647058823529,34,60,0,0.0615522342852703,68
5544,5.66666666666667,30,60,0,0.445840000623269,69
36007,6.27586206896552,29,60,0,0.0880686602309834,70
5415,3.10526315789474,38,60,0,0.0220129596754897,71
7021,4.25,32,60,0,0.0913085042238101,72
5937,5.51515151515152,33,60,0,0.228390102515925,73
72606,5.86206896551724,29,60,0,0.0957941334847607,74
5565,5,32,60,0,0.580162683884906,75
7566,4.05405405405405,37,60,0,0.148183489497868,76
6231,5,30,60,0,0.0379580849018698,77
49557,4.375,32,60,0,0.0381374894420574,78
6046,4.29411764705882,34,60,0,0.101271490143949,79
5804,5.93103448275862,29,60,0,0.0928654235970797,80
55403,5.125,32,60,0,0.037943272075976,81
6185,6,30,60,0,0.218708012301789,82
6509,5.35483870967742,31,60,0,0.222359390968517,83
5935,5.79310344827586,29,60,0,0.152275181034412,84
59489,3.56756756756757,37,60,0,0.0203031884750071,85
9359,5.0625,32,60,0,0.0956746397024439,86
6174,5.25,32,60,0,0.0608345322005335,87
9830,4.42424242424242,33,60,0,0.020905866496985,88
39357,4.05882352941176,34,60,0,0.0989307374119249,89
5914,4.625,32,60,0,0.0953275074438983,90
5845,4.55555555555556,36,60,0,0.153730451049913,91
6466,4.9375,32,60,0,0.155615963244138,92
50858,3.51351351351351,37,60,0,0.0376737697345548,93
7522,4.58823529411765,34,60,0,0.229410704966291,94
8701,4.75,32,60,0,0.146764111619995,95
6455,5.03225806451613,31,60,0,0.227195010658474,96
48954,5.41935483870968,31,60,0,0.447340410990753,97
9488,5.31034482758621,29,60,0,0.00656392448302134,98
5686,4.96774193548387,31,60,0,0.313886141359847,99
50240,5.09090909090909,33,60,0,0.0387660129324302,100
