"TimeofExecution","E-hits_metric","UniqueKmers_2","UniqueHashes","KS-test-diff","KS-test-kmer2","Sample"
890,4.54545454545455,33,60,0,0.215563044596419,1
774,4.41176470588235,34,60,0,0.153165778471991,2
709,3.94117647058824,34,60,0,0.222017500064586,3
660,6.48275862068965,29,60,0,0.0615403274462164,4
684,3.62162162162162,37,60,0,0.338259901889236,5
690,5.0625,32,60,0,0.603552791400315,6
582,4.22857142857143,35,60,0,0.330859672258029,7
623,6.4,30,60,0,0.0566172092020739,8
682,4.52941176470588,34,60,0,0.329753405170521,9
530,4.6875,32,60,0,0.22311842535056,10
655,5.93103448275862,29,60,0,0.153964893870681,11
727,5.41935483870968,31,60,0,0.315796570301844,12
714,7.52,25,60,0,0.0604685123090709,13
721,4.625,32,60,0,0.0378450372793826,14
661,5.16129032258065,31,60,0,0.145197183755099,15
688,5.0625,32,60,0,0.0359178584846706,16
748,4.77777777777778,36,60,0,0.157989053669659,17
707,4.68571428571429,35,60,0,0.0610100124154209,18
656,5.31034482758621,29,60,0,0.0380474190686216,19
707,4.05882352941176,34,60,0,0.222392803457438,20
692,4.3030303030303,33,60,0,0.455117977905219,21
689,4.5,32,60,0,0.148870927969808,22
711,4.375,32,60,0,0.312970656030061,23
699,4.9375,32,60,0,0.102207663518568,24
674,4.24242424242424,33,60,0,0.062429927501034,25
691,4.15384615384615,39,60,0,0.151498182946158,26
709,4.17647058823529,34,60,0,0.153722448790125,27
729,7.92857142857143,28,60,0,0.221069321807128,28
749,4.70588235294118,34,60,0,0.450078690512091,29
733,4,38,60,0,0.318571423057275,30
743,4.3030303030303,33,60,0,0.151747794748076,31
731,3.28205128205128,39,60,0,0.234226334204919,32
2097,4.4,35,60,0,0.321710830548699,33
667,5.9375,32,60,0,0.0381998229462766,34
693,5.125,32,60,0,0.150074847305525,35
696,4.11428571428571,35,60,0,0.0901326996339918,36
660,4.96969696969697,33,60,0,0.0354279120092557,37
695,4.11111111111111,36,60,0,0.0376171155767058,38
672,5.80645161290323,31,60,0,0.0204139046727504,39
612,5.53333333333333,30,60,0,0.0642124296761512,40
683,4.11428571428571,35,60,0,0.0987995041483165,41
731,4.625,32,60,0,0.0384670185359044,42
627,4.05555555555556,36,60,0,0.324645684801498,43
497,5.05882352941176,34,60,0,0.0630083886448677,44
524,4.36363636363636,33,60,0,0.100509047105931,45
531,3.05,40,60,0,0.225276891473161,46
529,4.05882352941176,34,60,0,0.0608858567014371,47
509,4.23529411764706,34,60,0,0.100044747646926,48
650,4.8125,32,60,0,0.325973401513144,49
682,6,29,60,0,0.0958866423073522,50
683,6.84615384615385,26,60,0,0.0617457949151849,51
682,4.66666666666667,33,60,0,0.22057413903286,52
681,4.24242424242424,33,60,0,0.216793421104327,53
666,7.77777777777778,27,60,0,0.0983124757284203,54
694,3.94117647058824,34,60,0,0.587457794734076,55
682,5.125,32,60,0,0.0987437273204556,56
680,4.83870967741935,31,60,0,0.212647265566706,57
665,4.51428571428571,35,60,0,0.212711030957134,58
667,4.88235294117647,34,60,0,0.0998974225078803,59
660,4.625,32,60,0,0.102105216517789,60
692,4.17142857142857,35,60,0,0.318669959657902,61
656,4.05714285714286,35,60,0,0.0620798488654259,62
658,4.22857142857143,35,60,0,0.226236841962291,63
642,4.375,32,60,0,0.218104441589466,64
633,3.66666666666667,36,60,0,0.060163412366345,65
674,4.42424242424242,33,60,0,0.0987109425542992,66
679,4.83870967741935,31,60,0,0.139775714912081,67
754,5,32,60,0,0.223963738468754,68
656,4.22857142857143,35,60,0,0.144968863078296,69
652,3.5,36,60,0,0.0664599363697732,70
668,4.5,32,60,0,0.0626755483640109,71
723,4.62857142857143,35,60,0,0.304204949126686,72
680,5.2258064516129,31,60,0,0.2254197531518,73
682,4.5,32,60,0,0.0638389394720819,74
688,5.86666666666667,30,60,0,0.317233345650354,75
712,4.75,32,60,0,0.436946740733352,76
675,5.93103448275862,29,60,0,0.152452848931061,77
685,5.35483870967742,31,60,0,0.0981200702662474,78
705,5.09090909090909,33,60,0,0.0367520252170741,79
694,5.66666666666667,30,60,0,0.153366032346183,80
709,4.42424242424242,33,60,0,0.31042488011972,81
679,3.51351351351351,37,60,0,0.216382752751672,82
737,4.27027027027027,37,60,0,0.0618547965804942,83
97466,4.6875,32,60,0,0.0607056225207528,84
708,3.83333333333333,36,60,0,0.0957497451449868,85
722,5.79310344827586,29,60,0,0.201516421870485,86
718,3.82857142857143,35,60,0,0.0214824352058287,87
658,5,30,60,0,0.227958462430372,88
665,4.64516129032258,31,60,0,0.144660564315072,89
720,4.23529411764706,34,60,0,0.0997074465087011,90
679,4.6875,32,60,0,0.0951872379227073,91
682,3.82857142857143,35,60,0,0.314167255487587,92
729,4.17647058823529,34,60,0,0.215723046341672,93
704,4.64705882352941,34,60,0,0.0974662684753517,94
703,4.72727272727273,33,60,0,0.0624549055142372,95
695,4.11428571428571,35,60,0,0.22116462343739,96
736,4.84848484848485,33,60,0,0.101427395263511,97
3017,3.94117647058824,34,60,0,0.228209867644904,98
738,4.4,35,60,0,0.152936661324224,99
761,6.92307692307692,26,60,0,0.0552438973569932,100
