TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
28816,9960,2,15,25,50,18446744073709551615,GuoPibri,1
21758,9960,2,15,25,50,18446744073709551615,GuoPibri,2
21733,9960,2,15,25,50,18446744073709551615,GuoPibri,3
18019,9960,2,15,25,50,18446744073709551615,GuoPibri,4
16887,9960,2,15,25,50,18446744073709551615,GuoPibri,5
16766,9960,2,15,25,50,18446744073709551615,GuoPibri,6
25707,9960,2,15,25,50,18446744073709551615,GuoPibri,7
20969,9960,2,15,25,50,18446744073709551615,GuoPibri,8
20531,9960,2,15,25,50,18446744073709551615,GuoPibri,9
23347,9960,2,15,25,50,18446744073709551615,GuoPibri,10
