kmer_1,hash_1,kmer_2,hash_2,Sample
0,182,18,8,1
1,217,21,39,1
2,102,22,159,1
3,155,23,127,1
4,108,22,159,1
5,177,23,127,1
6,197,16,48,1
7,23,26,234,1
8,94,20,137,1
9,123,20,137,1
10,238,21,39,1
11,186,23,127,1
12,235,23,127,1
13,172,23,127,1
14,179,26,234,1
15,204,25,250,1

